#Reading Graph,,,,
#vertices: 801454 edges: 3200440,,,,
#Verifying if bipartite,,,,
#Run karp sipser to get initial matching,,,,
#karp sipser matching took: 1.34155s, size = 349431,,,
#Run greedy to get initial matching,,,,
#greedy matching took: 1.05194s, size = 344958,,,
#Maximum Matching Size: 386624 edges,,,,
#Karp Sipser Initial Matching: 90.3801% optimal,,,,
#Greedy Initial Matching: 89.2231% optimal,,,,
#Run pf with KS,,,,
,,,,
,,,,
TimeStamp,GraphName,NumVertices,NumEdges,Algorithm
Irgendwenn,amazon,801454,3200440,pf_KS
1,,,,
323.471,,,,
311.479,,,,
311.508,,,,
311.498,,,,
311.523,,,,
312.346,,,,
313.096,,,,
311.477,,,,
311.485,,,,
311.507,,,,
311.51,,,,
311.478,,,,
311.515,,,,
311.504,,,,
311.508,,,,
311.501,,,,
311.979,,,,
313.374,,,,
311.505,,,,
311.504,,,,
311.498,,,,
311.474,,,,
311.497,,,,
311.474,,,,
312.904,,,,
311.221,,,,
311.335,,,,
314.432,,,,
311.232,,,,
311.278,,,,
311.266,,,,
311.242,,,,
311.259,,,,
311.281,,,,
311.279,,,,
313.055,,,,
313.615,,,,
312.672,,,,
311.239,,,,
311.243,,,,
311.876,,,,
311.252,,,,
311.919,,,,
311.263,,,,
311.259,,,,
311.279,,,,
311.288,,,,
